Altium Designer Pick and Place Locations
E:\GitProject\ArmDebuger\PCB\231009_ArmDebuger_V0.5(LHS)\Project Outputs for ArmDebuger_V0.5\Pick Place for ArmDebuger.csv

========================================================================================================================
File Design Information:

Date:       10/10/23
Time:       17:05
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R53","4.7K","BottomLayer","0402R-SMD-M","21.7220","15.4468","0",""
"R52","10K","BottomLayer","0402R-SMD-M","33.5534","11.2776","180",""
"R3","5.1K","TopLayer","0402R-SMD-M","15.8433","23.8006","270",""
"R2","5.1K","TopLayer","0402R-SMD-M","17.1577","23.8006","270",""
"R1","1M","TopLayer","0402R-SMD-M","14.5288","23.8006","90",""
"Q3","S8050","BottomLayer","SOT-23","9.8806","15.7099","90",""
"Q1","MMBT5401","BottomLayer","SOT-23","6.3754","15.7099","90",""
"L1","SDCW2012-2-121TF","TopLayer","SDCW2012-2","12.9676","27.3748","180",""
"JP4","HEADER4","TopLayer","HDR-1X4-1.27MM","2.9464","6.0198","0",""
"JP3","HEADER4","TopLayer","HDR-1X4-1.27MM","7.8740","18.2626","180",""
"JP2","HEADER4","TopLayer","HDR-1X4-1.27MM","33.5026","22.9108","270",""
"JP1","USB-type-C_2","BottomLayer","USB-TYPE-C-SMT","17.2555","26.7320","180",""
"D9","MM1Z5V1","BottomLayer","SOD-123","14.1563","22.1293","0",""
"D1","B5819W","BottomLayer","SOD-123","19.7697","22.1547","0",""
"C17","104/X7R/16V","TopLayer","0402C-SMD-M","25.3238","24.1046","270",""
"C16","22P/C0G/50V","TopLayer","0402C-SMD-M","31.5722","24.1046","90",""
"C15","22P/C0G/50V","TopLayer","0402C-SMD-M","26.2636","24.1046","270",""
"C14","106/X5R/10V","BottomLayer","0402C-SMD-M","3.7084","18.8417","180",""
"C13","106/X5R/10V","TopLayer","0402C-SMD-M","14.6115","19.9563","0",""
"C12","22P/C0G/50V","BottomLayer","0402C-SMD-M","0.7874","10.4902","270",""
"C11","22P/C0G/50V","BottomLayer","0402C-SMD-M","0.7874","8.2804","270",""
"C10","104/X7R/16V","BottomLayer","0402C-SMD-M","33.5534","10.3717","180",""
"C9","22P/C0G/50V","BottomLayer","0402C-SMD-M","33.5534","9.4657","180",""
"C8","22P/C0G/50V","BottomLayer","0402C-SMD-M","33.5534","8.5598","180",""
"C3","106/X5R/10V","TopLayer","0402C-SMD-M","24.1168","26.9577","90",""
"C19","106/X5R/10V","TopLayer","0402C-SMD-M","18.4722","23.8006","90",""
"C1","104/X7R/16V","TopLayer","0402C-SMD-M","19.7866","23.8006","270",""
